,id,title,title_lower,type,description,release_year,country_code,country,genre,seasons,age_certification,age_group,runtime,runtime_type,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
2325,tm289882,Birdshot,birdshot,MOVIE,"A farm girl mistakenly shoots and kills an endangered Philippine Eagle. When authorities begin a manhunt to track down the eagle’s killer, they stumble upon an even more horrific discovery.",2017,PH,Philippines,thriller,0,not specified,not specified,116,long,6.6,792,2.463,6.5
2326,tm296398,Steel Rain,steel rain,MOVIE,"Amid a coup, a North Korean agent escapes south with the country's injured leader in an attempt to keep him alive and prevent a Korean war.",2017,KR,"Korea, Republic of",action,0,not specified,not specified,139,long,7.1,5581,14.511,7.2
2327,tm440946,Christmas with a View,christmas with a view,MOVIE,"This Christmas, Thunder Mountain Ski Resort is abuzz when celebrity chef Shane Roarke is named the new head chef. Clara Garrison isn't as excited and is instead focused on getting resettled after her failed attempt at opening a restaurant in the city. With their paths constantly crossing, will their shared passion for cooking bring them together or will secrets keep them apart?",2018,CA,Canada,romance,0,not specified,not specified,90,long,5.1,4574,10.989,5.8
2328,tm408104,Greg Davies: You Magnificent Beast,greg davies: you magnificent beast,MOVIE,"Greg is back with his first stand up show in four years, and biggest ever tour, You Magnificent Beast.",2018,GB,United Kingdom of Great Britain and Northern Ireland,comedy,0,not specified,not specified,66,medium,7.1,2387,2.445,6.5
2329,ts94470,Relatable,relatable,SHOW,"What happens when the '90s meets now? A group of friends takes it day by day trying to find out. Through life, love, awkward moments, bad dates and social media. A comedy with a cast that has a leg in the 90s and a hand high-fiving the millennials.",2018,unknown,unknown,comedy,2,not specified,not specified,39,long,-1.0,-1,0.6,-1.0
2330,tm244521,Catfight,catfight,MOVIE,The rivalry between two former college friends comes to a head when they both attend the same glamorous event.,2017,US,United States of America,comedy,0,not specified,not specified,96,long,5.9,6323,6.831,5.5
2331,tm414676,Paradise Lost,paradise lost,MOVIE,"Marked by losses and mismatches, José's eccentric family seek to be happy while locked in Paraíso Perdido, a nightclub that has stopped in time, where they sing popular romantic music.",2018,BR,Brazil,drama,0,not specified,not specified,110,long,6.9,689,3.322,7.5
2332,tm321627,Ali's Wedding,ali's wedding,MOVIE,"After a ""white lie"" which spirals out of control, a neurotic, naive and musically gifted Muslim cleric's eldest son must follow through with an arranged marriage, except he is madly in love with an Australian born-Lebanese girl.",2017,AU,Australia,romance,0,not specified,not specified,110,long,6.9,5008,5.584,7.1
2333,tm307761,Toilet: A Love Story,toilet: a love story,MOVIE,"A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect, he heads out on a journey to fight against the backward society.",2017,IN,India,comedy,0,not specified,not specified,155,long,7.2,20896,5.129,6.981
2334,tm428073,When Angels Sleep,when angels sleep,MOVIE,"Germán, an honest family man, sees how his whole world wobbles the night when, driving home, accidentally runs over two teenage girls. From that moment, Germán will have to do everything in his power to prevent his life from being destroyed forever.",2018,ES,Spain,thriller,0,not specified,not specified,94,long,5.5,3684,7.521,5.6
2335,ts83070,72 Dangerous Animals: Asia,72 dangerous animals: asia,SHOW,"From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?",2018,US,United States of America,documentation,1,TV-14,supervised,47,long,6.6,517,10.561,6.2
2336,tm356563,The Stolen,the stolen,MOVIE,"The story of a woman who must find her kidnapped son, navigating a world she doesn't know, on the edge of danger with every heartbeat.",2017,DE,Germany,western,0,not specified,not specified,98,long,5.3,1330,6.15,5.5
2337,tm365670,Perú: Tesoro Escondido,perú: tesoro escondido,MOVIE,"Perú: tesoro escondido is a documentary genre film about the secrets of Perú. The millinery culture of their ancestors, the beautiful landscapes, the tourist places and other places not yet discovered by the tourism and culinary culture, one of the richest in the world, stands out in this story. The documentary tells a story of a journey through culinary culture, beaches, the Amazon and the cultural heritage of the civilizations that inhabited Peru. Throughout the film, part of the geography and society of Peru is portrayed. The documentary focuses on five main areas: culinary culture, beaches, the Cordillera, the Amazon and the cultural heritage of ancient civilizations. This story focuses on highlighting the best known icons of the country, such as Machu Picchu, and others not so well known and difficult to access. The film is dressed with impressive images of the Ica desert and the sunrise in the Amazon jungle.",2017,PE,Peru,documentation,0,not specified,not specified,76,medium,6.1,527,10.669,8.0
